Nationality,Type,Gender,Name
Japanese,First,Male,Ken'ichi
Japanese,First,Male,Koji
Japanese,First,Male,Yasu
Japanese,First,Male,Osamu
Japanese,First,Male,Katashi
Japanese,First,Male,Ryuji
Japanese,First,Male,Ryoichi
Japanese,First,Male,Ren
Japanese,First,Male,Tatsuki
Japanese,First,Male,Touji
Japanese,First,Male,Shuta
Japanese,First,Male,Asahi
Japanese,First,Male,Kaito
Japanese,First,Male,Masao
Japanese,First,Male,Ryo
Japanese,Last,None,Abe
Japanese,Last,None,Adachi
Japanese,Last,None,Akiyama
Japanese,Last,None,Amano
Japanese,Last,None,Arakawa
Japanese,Last,None,Aoyama
Japanese,Last,None,Ashikaga
Japanese,Last,None,Arai
Japanese,Last,None,Eguchi
Japanese,Last,None,Fujiwara
Japanese,Last,None,Fujikawa
Japanese,Last,None,Fujioka
Japanese,Last,None,Hagiwara
Japanese,Last,None,Hashimoto
Japanese,Last,None,Hayashida
Japanese,Last,None,Higashi
Japanese,Last,None,Hirayama
Japanese,Last,None,Ikera
Japanese,Last,None,Imada
Japanese,Last,None,Ishikawa
Japanese,Last,None,Iwasaki
Japanese,Last,None,Kajiwara
Japanese,Last,None,Kobayashi
Korean,First,Female,Ha-Eun
Korean,First,Female,Ha-rin
Korean,First,Female,Ha-yoon
Korean,First,Female,Ha-yul
Korean,First,Female,Ji-A
Korean,First,Female,Ji-yu
Korean,First,Female,Seo-yun
Korean,First,Female,Su-ah
Korean,First,Female,I-seul
Korean,First,Female,Mi-ja
Korean,First,Female,Su-jin
Korean,First,Female,Eu-nae
Korean,First,Female,Hwa-young
Korean,First,Female,Min-ji
Korean,First,Female,Na-ri
Korean,First,Female,Mi-young
Korean,First,Female,Su-bin
Korean,First,Female,Chae-yeong
Korean,First,Female,Ji-won
Korean,First,Female,Jae-hwa
Korean,First,Female,Su-min
Korean,First,Female,Yeong-ja
Korean,First,Female,Eun-bi
Korean,First,Female,Da-yul
Korean,First,Female,So-mi
Korean,First,Female,Ji-ho
Korean,First,Female,Mi-na
Korean,First,Female,Na-eun
Korean,First,Female,Ye-ri
Korean,First,Female,Chae-won
Korean,First,Female,Eun-ji
Korean,First,Female,Da-som
Korean,First,Female,Ja-yeon
Korean,First,Female,Hae-yeong
Korean,First,Male,Chae-min
Korean,First,Male,Do-yun
Korean,First,Male,Eun-woo
Korean,First,Male,Ha-joon
Korean,First,Male,Ji-ho
Korean,First,Male,Ju-won
Korean,First,Male,Min-jun
Korean,First,Male,Seo-jun
Korean,First,Male,Ye-jun
Korean,First,Male,Seong-min
Korean,First,Male,Young-jae
Korean,First,Male,Seok-jin
Korean,First,Male,Dae
Korean,First,Male,Won-shik
Korean,First,Male,Ji-min
Korean,First,Male,Jun-ho
Korean,First,Male,Jin-young
Korean,First,Male,Ji-sung
Korean,First,Male,Su-ho
Korean,First,Male,Hae-chan
Korean,Last,Male,Song
Korean,Last,None,Son
Korean,Last,None,Kim
Korean,Last,None,Lee
Korean,Last,None,Yi
Korean,Last,None,Park
Korean,Last,None,Choi
Korean,Last,None,Jeong
Korean,Last,None,Kang
Korean,Last,None,Cho
Korean,Last,None,Jo
Korean,Last,None,Yoon
Korean,Last,None,Yun
Korean,Last,None,Jang
Korean,Last,None,Im
Korean,Last,None,Ahn
Korean,Last,None,Bae
Korean,Last,None,Baek
Korean,Last,None,Bang
Korean,Last,None,Byun
Korean,Last,None,Chang
Korean,Last,None,Chung
Vietnamese,First,Female,Linh
Vietnamese,First,Female,Ha
Vietnamese,First,Female,Trang
Vietnamese,First,Female,Thao
Vietnamese,First,Female,Thuy
Vietnamese,First,Female,Hoa
Vietnamese,First,Female,Yen
Vietnamese,First,Female,Nhi
Vietnamese,First,Female,Nga
Vietnamese,First,Female,Loan
Vietnamese,First,Female,Gia
Vietnamese,First,Female,lanh
Vietnamese,First,Female,Mai
Vietnamese,First,Female,Lien
Vietnamese,First,Male,Tuan
Vietnamese,First,Male,Hung
Vietnamese,First,Male,Nam
Vietnamese,First,Male,Huy
Vietnamese,First,Male,Long
Vietnamese,First,Male,Hai
Vietnamese,First,Male,Hieu
Vietnamese,First,Male,Duy
Vietnamese,First,Male,Bao
Vietnamese,First,Male,Truong
Vietnamese,First,Male,Luc
Vietnamese,First,Male,Khiem
Vietnamese,First,Male,Diep
Vietnamese,First,Male,Chan
Vietnamese,First,Male,Khoa
Vietnamese,Last,None,Nguyen
Vietnamese,Last,None,Mai
Vietnamese,Last,None,Luong
Vietnamese,Last,None,Minh
Vietnamese,Last,None,Pham
Vietnamese,Last,None,Le
Vietnamese,Last,None,Levan
Vietnamese,Last,None,Hy
Vietnamese,Last,None,Doan
Vietnamese,Last,None,Giang
Vietnamese,Last,None,Phang
Vietnamese,Last,None,Lien
Vietnamese,Last,None,Dung
Vietnamese,Last,None,Dieu
Vietnamese,Last,None,Ngo
Vietnamese,Last,None,Than
Thai,First,Female,Amara
Thai,First,Female,Ananya
Thai,First,Female,Anchali
Thai,First,Female,Parinya
Thai,First,Female,Aom
Thai,First,Female,Anong
Thai,First,Female,Banyen
Thai,First,Female,Chalita
Thai,First,Female,Busarakham
Thai,First,Female,Chariya
Thai,First,Female,Chaluai
Thai,First,Female,Chailai
Thai,First,Female,Fah
Thai,First,Female,Dokmai
Thai,First,Female,Hom
Thai,First,Female,Hansa
Thai,First,Female,Ireshi
Thai,First,Female,Junta
Thai,First,Female,Kaeo
Thai,First,Female,Lawan
Thai,First,Female,Malai
Thai,First,Female,Naiyana
Thai,First,Female,Nalin
Thai,First,Male,Adisorn
Thai,First,Male,Amphai
Thai,First,Male,Chalerm
Thai,First,Male,Kiat
Thai,First,Male,Danaisak
Thai,First,Male,Jirayu
Thai,First,Male,Kamon
Thai,First,Male,Kasem
Thai,First,Male,Mechai
Thai,First,Male,Chai 
Thai,First,Male,Lek
Thai,First,Male,Navin
Thai,First,Male,Prin
Thai,First,Male,Tao
Thai,First,Male,Udom
Thai,First,Male,Yai
Thai,Last,None,Bun Ma
Thai,Last,None,Adulyadej
Thai,Last,None,Ngam
Thai,Last,None,Somsri
Thai,Last,None,Makok
Thai,Last,None,Sombat
Thai,Last,None,Pasu
Thai,Last,None,Soikham
Thai,Last,None,Noi
Thai,Last,None,Chaiya
Thai,Last,None,Chaidee
Thai,Last,None,Rattanakosin
Thai,Last,None,Thong Di
Indian,First,Female,Aisha
Indian,First,Female,Anika
Indian,First,Female,Fatima
Indian,First,Female,Akanksha
Indian,First,Female,Chanda
Indian,First,Female,Lilavati
Indian,First,Female,Nithya
Indian,First,Female,Amrita
Indian,First,Female,Hema
Indian,First,Female,Ritika
Indian,First,Female,Indira
Indian,First,Female,Devika
Indian,First,Female,Drishti
Indian,First,Female,Esha
Indian,First,Female,Kalyani
Indian,First,Female,Karishma
Indian,First,Female,Anjali
Indian,First,Female,Lalita
Indian,First,Female,Reshmi
Indian,First,Female,Saira
Indian,First,Female,Ahana
Indian,First,Female,Kashvi
Indian,First,Female,Kaveri
Indian,First,Male,Amir
Indian,First,Male,Rohan
Indian,First,Male,Vihaan
Indian,First,Male,Kabir
Indian,First,Male,Deepak
Indian,First,Male,Kamal
Indian,First,Male,Suraj
Indian,First,Male,Shankar
Indian,First,Male,Mahavir
Indian,First,Male,Dharma
Indian,First,Male,Rashmi
Indian,First,Male,Shakti
Indian,First,Male,Ravi
Indian,First,Male,Sanjay
Indian,First,Male,Nikhil
Indian,First,Male,Ravi
Indian,First,Male,Kiran
Indian,First,Male,Karan
Indian,First,Male,Suman
Indian,First,Male,Ankur
Indian,First,Male,Dev
Indian,Last,None,Bajwa
Indian,Last,None,Bahri
Indian,Last,None,Balakrishnan
Indian,Last,None,Bandi
Indian,Last,None,Brahmbhatt
Indian,Last,None,Chakrabarti
Indian,Last,None,Chanda
Indian,Last,None,Chopra
Indian,Last,None,Dalal
Indian,Last,None,Dasgupta
Indian,Last,None,Desai
Indian,Last,None,Dhar
Indian,Last,None,Devi
Indian,Last,None,Dhawan
Indian,Last,None,Goswami
Indian,Last,None,Hans
Indian,Last,None,Kapur
Indian,Last,None,Lanka
Filipino,First,Female,Isa
Filipino,First,Female,Jasmine
Filipino,First,Female,Bernila
Filipino,First,Female,Carmelita
Filipino,First,Female,Liezel
Filipino,First,Female,Odesa
Filipino,First,Female,Perlah
Filipino,First,Female,Reyna
Filipino,First,Female,Dalisay
Filipino,First,Female,Diwata
Filipino,First,Female,Hiraya
Filipino,First,Female,Tala
Filipino,First,Female,Dari
Filipino,First,Female,Myra
Filipino,First,Female,Amihan
Filipino,Last,None,Duso
Filipino,Last,None,Cahoy
Filipino,Last,None,Lim
Filipino,Last,None,Manansala
Filipino,Last,None,Manalo
Filipino,Last,None,Pado
Filipino,Last,None,Ong
Filipino,Last,None,Tan
American,First,Female,Olivia
American,First,Female,Emma
American,First,Female,Charlotte
American,First,Female,Amelia
American,First,Female,Sophia
American,First,Female,Isabella
American,First,Female,Ava
American,First,Female,Mia
American,First,Female,Evelyn
American,First,Female,Luna
American,First,Female,Harper
American,First,Female,Camila
American,First,Female,Sofia
American,First,Female,Scarlett
American,First,Female,Elizabeth
American,First,Female,Emily
American,First,Female,Chloe
American,First,Female,Mila
American,First,Female,Violet
American,First,Female,Penelope
American,First,Female,Gianna
American,First,Female,Aria
American,First,Female,Abigail
American,First,Female,Ella
American,First,Female,Avery
American,First,Female,Hazel
American,First,Female,Nora
American,First,Female,Layla
American,First,Female,Lily
American,First,Male,Liam
American,First,Male,Carter
American,First,Male,Noah
American,First,Male,Oliver
American,First,Male,Benjamin
American,First,Male,Lucas
American,First,Male,Theodore
American,First,Male,Aidan
American,First,Male,Luke
American,First,Male,Julian
American,First,Male,Wyatt
American,First,Male,Matthew
American,First,Male,Isaac
American,First,Male,Dylan
American,First,Male,Thomas
American,First,Male,Cooper
American,First,Male,Andrew
American,First,Male,Eli
American,First,Male,Wesley
American,First,Male,Bennett
American,First,Male,Robert
American,First,Male,Silas
American,First,Male,Theo
American,First,Male,Jace
American,First,Male,Emmett
American,First,Male,Nathaniel
American,First,Male,Jason
American,Last,None,Smith
American,Last,None,Johnson
American,Last,None,Brown
American,Last,None,Davis
American,Last,None,Williams
American,Last,None,Wilson
American,Last,None,Jackson
American,Last,None,Moore
American,Last,None,Martin
American,Last,None,White
American,Last,None,Thompson
American,Last,None,Young
American,Last,None,Walker
American,Last,None,Allen
American,Last,None,King
American,Last,None,Wright
American,Last,None,Scott
American,Last,None,Hill
American,Last,None,Hall
American,Last,None,Mitchell
American,Last,None,Philips
American,Last,None,Evans
Hawaiian,First,Female,Haukea
Hawaiian,First,Male,Iokua
Hawaiian,First,Female,Iolana
Hawaiian,First,Male,Kahiau
Hawaiian,First,Female,Kai
Hawaiian,First,Female,Kailani
Hawaiian,First,Male,Kaimana
Hawaiian,First,Female,Kalani
Hawaiian,First,Female,Kalea
Hawaiian,First,Female,Kalei
Hawaiian,First,Female,Kamalani
Hawaiian,First,Female,Kanani
Hawaiian,First,Male,Kapena
Hawaiian,First,Female,Kau'i
Hawaiian,First,Male,Kauʻi
Hawaiian,First,Male,Kōnane
Hawaiian,First,Female,Lani
Hawaiian,First,Female,Leilani
African American,First,Female,Alana
African American,First,Female,Alexia
African American,First,Female,Aaliyah
African American,First,Female,Brooke
African American,First,Female,Charice
African American,First,Female,Chelsea
African American,First,Female,Destiny
African American,First,Female,Devyn
African American,First,Female,Dionne
African American,First,Female,Essence
African American,First,Female,Felicity
African American,First,Female,Gemma
African American,First,Female,Imani
African American,First,Female,Iyana
African American,First,Female,Jada
African American,First,Female,Jalisa
African American,First,Female,Kayla
African American,First,Female,Kennedy
African American,First,Female,Kiara
African American,First,Female,Liana
African American,First,Female,Megan
African American,First,Female,Mia
African American,First,Female,Nala
African American,First,Female,Nicole
African American,First,Female,Shani
African American,First,Female,Shannon
African American,First,Female,Shantae
African American,First,Female,Simone
African American,First,Female,Talia
African American,First,Female,Teyana
African American,First,Female,Tiana
African American,First,Female,Amiyah
African American,First,Female,Monique
African American,First,Female,Brandy
African American,First,Female,Billie
African American,First,Male,Aaron
African American,First,Male,Anthony
African American,First,Male,Devon
African American,First,Male,Dylan
African American,First,Male,Cameron
African American,First,Male,DeAndre
African American,First,Male,Demetrius
African American,First,Male,Jahmir
African American,First,Male,Jamar
African American,First,Male,Jesiah
African American,First,Male,Kenan
African American,First,Male,Keyshawn
African American,First,Male,Khalil
African American,First,Male,Malachi
African American,First,Male,Malcom
African American,First,Male,Mateo
African American,First,Male,Omari
African American,First,Male,Tevin
African American,First,Male,Tyrell
African American,First,Male,Xavier
African American,First,Male,Zahir
African American,First,Male,Zion
African American,Last,None,Jones
African American,Last,None,Williamson
African American,Last,None,Jackson
African American,Last,None,Williams
African American,Last,None,Davis
African American,Last,None,Thomas
African American,Last,None,Robinson
African American,Last,None,Harris
African American,Last,None,Taylor
African American,Last,None,Moore
African American,Last,None,Lewis
African American,Last,None,Green
African American,Last,None,Walker
African American,Last,None,Carter
African American,Last,None,King
African American,Last,None,Edwards
African American,Last,None,Wade
French,First,Female,Alice
French,First,Female,Adelaide
French,First,Female,Arielle
French,First,Female,Anne
French,First,Female,Blanche
French,First,Female,Brielle
French,First,Female,Brigitte
French,First,Female,Camille
French,First,Female,Danielle
French,First,Female,Corinne
French,First,Female,Elise
French,First,Female,Eleonore
French,First,Female,Edith
French,First,Female,Desiree
French,First,Female,Emilie
French,First,Female,Estelle
French,First,Female,Eloise
French,First,Female,Felice
French,First,Female,Fosette
French,First,Female,Giselle
French,First,Female,Helene
French,First,Female,Gabrielle
French,First,Female,Jade
French,First,Female,Juliette
French,First,Female,Liana
French,First,Female,Lucie
French,First,Female,Lucienne
French,First,Female,Madeleine
French,First,Female,Rose
French,First,Female,Jolie
French,First,Female,Celine
French,Last,None,Ager
French,Last,None,Aguillard
French,Last,None,Altier
French,Last,None,Auclair
French,Last,None,Babour
French,Last,None,Barnette
Greek,First,Female,Aria
Greek,First,Female,Eleni
Greek,First,Female,Sofia
Greek,First,Female,Anastasia
Greek,First,Female,Evangelia
Greek,First,Female,Georgia
Greek,First,Female,Anna
Greek,First,Female,Irida
Greek,First,Female,Ismini
Greek,First,Female,Kyveli
Greek,First,Female,Nomiki
Greek,First,Female,Nefeli
Greek,First,Female,Athina
Greek,First,Female,Kassandra
Greek,First,Female,Kore
Greek,First,Female,Rhea
Greek,First,Female,Iris
Greek,First,Female,Angela
Greek,First,Female,Michaela
Greek,First,Female,Olympia
Greek,First,Female,Sara
Greek,First,Female,Viktoria
Greek,First,Female,Avra
Greek,First,Female,Stella
Greek,First,Female,Demi
Greek,First,Female,Evi
Greek,First,Female,Korina
Greek,First,Female,Lena
Greek,Last,None,Galanis
Greek,Last,None,Anastos
Greek,Last,None,Demopoulos
Greek,Last,None,Eliopoulos
Greek,Last,None,Samaras
Greek,Last,None,Nikolaidis
Greek,Last,None,Loukanis
Greek,First,Male,Georgios
Greek,First,Male,Christos
Greek,First,Male,Nikolaos
Greek,First,Male,Vasileios
Greek,First,Male,
Greek,First,Male,Dimitrios
Greek,First,Male,Nikolais
Italian,First,Female,Isabella
Italian,First,Female,Luna
Italian,First,Female,Aria
Italian,First,Female,Mia
Italian,First,Female,Emilia
Italian,First,Female,Giana
Italian,First,Female,Ariana
Italian,First,Female,Sienna
Italian,First,Female,Lucia
Italian,First,Female,Bianca
Italian,First,Female,Viviana
Italian,First,Female,Elisa
Italian,First,Female,Luciana
Italian,First,Female,Angelina
Italian,First,Female,Francesca
Italian,First,Female,Angelica
Italian,First,Female,Rosa
Italian,First,Female,Milana
Italian,First,Female,Camilla
Italian,First,Female,Adele
Italian,First,Female,Luisa
Italian,First,Female,Anita
Italian,First,Female,Victoria
Italian,First,Female,Viola
Italian,First,Female,Maria
Italian,First,Female,Chloe
Italian,First,Female,Melissa
Italian,First,Male,Enzo
Italian,First,Male,Lorenzo
Italian,First,Male,Marco
Italian,First,Male,Matteo
Italian,First,Male,Agostino
Italian,First,Male,Elio
Italian,First,Male,Luka
Italian,First,Male,Gianni
Italian,First,Male,Rocco
Italian,First,Male,Alessandro
Italian,First,Male,Gian Luca
Italian,First,Male,Paolo
Italian,First,Male,Brando
Italian,First,Male,Dario
Italian,First,Male,Elisio
Italian,First,Male,Elmo
Italian,First,Male,Faro
Italian,First,Male,Gerardo
Italian,First,Male,Damiano
Italian,Last,None,Bianchi
Italian,Last,None,Rossi
Italian,Last,None,Bernardi
Italian,Last,None,Algiere
Italian,Last,None,Alberti
Italian,Last,None,Agosta
Italian,Last,None,Cardarelli
Italian,Last,None,Carinci
Italian,Last,None,Carvelli
Italian,Last,None,De Martino
Italian,Last,None,De Rienzo
Italian,Last,None,Romano
Italian,Last,None,Abruzzo
Italian,Last,None,Adinolfi
Italian,Last,None,Battistoni
Italian,Last,None,Belardo
Italian,Last,None,Bellanti
Italian,Last,None,Bellino
Italian,Last,None,Beltrami
Spanish,First,Female,Sofia
Spanish,First,Female,Valentina
Spanish,First,Female,Camila
Spanish,First,Female,Valeria
Spanish,First,Female,Alejandra
Spanish,First,Female,Amalia
Spanish,First,Female,Antonia
Spanish,First,Female,Carmen
Spanish,First,Female,Fernanda
Spanish,First,Female,Maura
Spanish,First,Female,Adela
Spanish,First,Female,Estrella
Spanish,First,Female,Ana
Spanish,First,Female,Julia
Spanish,First,Female,Marcia
Spanish,First,Female,Rosa
Spanish,First,Female,Angela
Spanish,First,Female,Carolina
Spanish,First,Female,Cristina
Spanish,First,Female,Olivia
Spanish,First,Female,Paloma
Spanish,First,Female,Viviana
Spanish,First,Male,Arturo
Spanish,First,Male,Carlos
Spanish,Last,None,Almas
Spanish,Last,None,Almonte
Spanish,Last,None,Alejandre
Spanish,Last,None,Alvaro
Spanish,Last,None,Alvarado
Spanish,Last,None,Balcazar
Spanish,Last,None,Bardales
Spanish,Last,None,Barco
Spanish,Last,None,Barrigo
Spanish,Last,None,Bernardo
Spanish,Last,None,Bermejo
Spanish,Last,None,Campa
Spanish,Last,None,Carnizales
Spanish,Last,None,Canesco
Spanish,Last,None,Carlos
Spanish,Last,None,Carreno
Spanish,Last,None,Castilla
Spanish,Last,None,Rosario
Spanish,Last,None,Diaz
Spanish,Last,None,Domingo
Spanish,Last,None,Duenas
Spanish,Last,None,Escarcega
Spanish,Last,None,Santos
Nigerian,First,Female,Kehinde
Nigerian,First,Female,Chioma
Nigerian,First,Female,Adaku
Nigerian,First,Female,Fatima
Nigerian,First,Female,Adanna
Nigerian,First,Female,Sade
Nigerian,First,Female,Patience
Nigerian,First,Female,Fadekemi
Nigerian,First,Female,Chiamaka
Nigerian,First,Female,Abebi
Nigerian,First,Female,Abeni
Nigerian,First,Female,Ayodele
Nigerian,First,Female,Ife
Nigerian,First,Female,Ime
Nigerian,First,Female,Kayin
Nigerian,First,Female,Omolara
Nigerian,First,Female,Yetunde
Nigerian,First,Female,Yejide
Nigerian,First,Male,Musa
Nigerian,First,Male,Ibrahim
Nigerian,First,Male,Ola
Nigerian,First,Male,Sani
Nigerian,First,Male,Oluwa
Nigerian,First,Male,Olufela
Nigerian,First,Male,Alhaji
Nigerian,First,Male,Amadi
Nigerian,First,Male,Ekene
Nigerian,First,Male,Idowu
Nigerian,First,Male,Olamide
Arabic,First,Female,Khadija
Arabic,First,Female,Kareena
Arabic,First,Female,Nora
Arabic,First,Female,Fatima
Arabic,First,Female,Mariam
Arabic,First,Female,Nadia
Arabic,First,Female,Yara
Arabic,First,Female,Farah
Arabic,First,Female,Yasmin
Arabic,First,Female,Samira
Arabic,First,Female,Samara
Arabic,First,Female,Shula
Arabic,First,Female,Muna
Arabic,First,Female,Aisha
Arabic,First,Female,Safa
Arabic,First,Female,Meriem
Arabic,First,Female,Amal
Arabic,First,Female,Halima
Arabic,First,Female,Amani
Arabic,First,Female,Na'ima
Arabic,First,Male,Amir
Arabic,First,Male,Hassan
Arabic,First,Male,Kareem
Arabic,First,Male,Malik
Arabic,First,Male,Akram
Arabic,First,Male,Qasim
Arabic,First,Male,Makram
Arabic,First,Male,Adil
Arabic,First,Male,Tariq
Arabic,First,Male,Khalil
Hawaiian,First,Female,Maile
Hawaiian,First,Female,Makana
Hawaiian,First,Male,Makoa
Hawaiian,First,Male,Maleko
Hawaiian,First,Female,Malia
Hawaiian,First,Female,Mikala
Hawaiian,First,Female,Nani
Hawaiian,First,Male,Noa
Hawaiian,First,Male,Pika
Hawaiian,First,Female,Pua
Hawaiian,Last,None,Ailana
Hawaiian,Last,None,Aka
Hawaiian,Last,None,Akamu
Hawaiian,Last,None,Anakoni
Hawaiian,Last,None,Anela
Hawaiian,Last,None,Aouli
Hawaiian,Last,None,Inoa
Hawaiian,Last,None,Iona
Hawaiian,Last,None,Ionakana
Hawaiian,Last,None,Kahale
Hawaiian,Last,None,Kalawai'a
Polynesian,First,Female,Aina
Polynesian,First,Female,Anahera
Polynesian,First,Female,Aolani
Polynesian,First,Female,Halia
Polynesian,First,Female,Hoʻomana
Polynesian,First,Female,Keilani
Polynesian,First,Female,Laila
Polynesian,First,Female,Makana
Polynesian,First,Female,Moanike’ala
Polynesian,First,Female,Nalani
Polynesian,First,Female,Noelani
Polynesian,First,Female,Teuila
Nigerian,First,Female,Kemi
Polynesian,Last,None,Aholelei
Polynesian,Last,None,Fainu
Polynesian,Last,None,Hale
Polynesian,Last,None,Hauata
Polynesian,Last,None,Ngatai
